,Formula_Index,OM_Value
527,578.0,0.4
528,543.0,0.2
529,542.0,0.2
530,454.0,0.77
531,410.0,0.77
532,437.0,0.69
533,437.0,0.69
534,515.0,0.69
535,515.0,0.69
536,543.0,0.6
537,545.0,0.6
538,467.0,0.5
539,541.0,0.5
540,564.0,0.55
541,559.0,0.55
542,548.0,0.5
543,548.0,0.5
544,490.0,0.5
545,490.0,0.5
546,484.0,0.6
547,484.0,0.6
548,436.0,0.6
549,436.0,0.6
550,501.0,0.48
551,501.0,0.48
552,550.0,0.48
553,550.0,0.48
554,496.0,0.5
555,515.0,0.5
556,526.0,0.41
557,526.0,0.41
558,502.0,0.19
559,502.0,0.19
560,429.0,0.19
561,429.0,0.19
562,447.0,0.55
563,447.0,0.55
564,550.0,0.5
565,550.0,0.5
566,384.0,0.41
567,384.0,0.41
568,371.0,0.41
569,371.0,0.41
570,490.0,0.5
571,490.0,0.5
572,509.0,0.5
573,509.0,0.5
574,516.0,0.62
575,516.0,0.62
576,476.0,0.62
577,476.0,0.62
578,543.0,0.6
579,488.0,0.6
580,498.0,0.4
581,484.0,0.4
582,518.0,0.4
583,445.0,0.4
584,471.0,0.3
585,471.0,0.3
586,533.0,0.3
587,533.0,0.3
588,302.0,0.5
589,302.0,0.5
590,287.0,0.5
591,287.0,0.5
592,426.0,0.5
593,426.0,0.5
594,512.0,0.5
595,512.0,0.5
596,464.0,0.6
597,464.0,0.6
598,475.0,0.6
599,475.0,0.6
600,448.0,0.6
601,457.0,0.6
602,557.0,0.6
603,549.0,0.6
604,567.0,0.6
605,567.0,0.6
606,491.0,0.6
607,491.0,0.6
608,478.0,1.01
609,531.0,1.01
610,420.0,0.5
611,420.0,0.5
612,481.0,0.5
613,481.0,0.5
614,296.0,0.7
615,296.0,0.7
616,301.0,0.7
617,301.0,0.7
618,490.0,0.4
619,490.0,0.4
620,556.0,0.4
621,556.0,0.4
622,444.0,0.4
623,444.0,0.4
624,421.0,0.4
625,421.0,0.4
626,534.0,0.43
627,534.0,0.43
628,503.0,0.47
629,503.0,0.47
630,516.0,0.5
631,516.0,0.5
632,525.0,0.5
633,525.0,0.5
634,528.0,0.6
635,528.0,0.6
636,479.0,0.6
637,479.0,0.6
638,448.0,0.5
639,496.0,0.5
640,416.0,0.5
641,473.0,0.5
642,466.0,0.6
