Sample ID,Depth (Cm),PH (1:1),ECe (1:1)(mS/cm),OM %,P (ppm),,
111004,O,8,1.07,0.34,3.9,,
111004,I,7.9,0.9,0.5,4,,
111017,O,7.8,1.71,0.67,5.6,,
111017,I,7.7,1.88,0.62,5.5,,
111018,O,7.8,1.36,0.57,4.9,,
111018,I,7.9,1.12,0.49,4.7,,
111019,O,8.3,1.86,0.52,5.2,,
111019,I,8.1,1.73,0.5,5.5,,
111021,O,7.8,1.09,0.34,4,,
111021,I,7.7,0.98,0.3,4.1,,
111024,O,8.1,1.1,0.41,5.2,,
111024,I,8,1.33,0.47,5,,
123680,O,8.1,1.11,0.5,4.5,,
123680,I,8,0.9,0.44,4.8,,
123681,O,7.7,0.309,0.6,4.1,,
123681,I,7.8,0.316,0.7,4,,
123682,O,7.9,1.32,0.43,5,,
123682,I,7.8,1.36,0.45,5.1,,
123683,O,8.1,2.5,0.42,5.5,,
123683,I,8,2.34,0.4,4.8,,
123684,O,7.8,0.615,0.4,5.5,,
123684,I,7.9,0.651,0.52,5,,
123685,O,7.9,0.65,0.43,4.6,,
123685,I,7.6,0.702,0.42,4.3,,
123686,O,8.1,1.13,0.43,4.1,,
123686,I,8,1.11,0.39,4.6,,
123698,O,7.8,0.93,0.54,6,,
123698,I,7.9,1.03,0.51,5.5,,
123699,O,7.8,1.14,0.43,4.8,,
123699,I,7.9,0.88,0.63,5.4,,
123700,O,8.1,2.4,0.48,5.6,,
123700,I,8,2.38,0.6,5.4,,
123701,O,7.7,0.91,0.37,5,,
123701,I,7.8,1.03,0.4,4.8,,
123893,O,7.9,1.1,0.5,5.5,,
123893,I,8.1,0.92,0.49,5.6,,
123916,O,7.7,1.12,0.41,4.8,,
123916,I,7.8,1.17,0.45,4.5,,
123917,O,7.9,1.09,0.3,4.8,,
123917,I,8,1.12,0.42,5.1,,
110734,O,7.9,1.09,0.5,4.8,,
110734,I,7.8,1.45,0.57,4.6,,
110735,O,8.2,1.09,0.43,4.2,,
110735,I,8.1,0.99,0.41,4,,
110736,O,7.9,1.45,0.36,4.2,,
110736,I,7.8,1.4,0.42,4.5,,
110737,O,7.9,1.09,0.55,4.6,,
110737,I,7.9,1.13,0.62,4.3,,
110738,O,7.7,0.84,0.45,3.8,,
110738,I,7.9,1.01,0.5,4.2,,
110767,O,8.1,1.03,0.43,4.2,,
110767,I,7.9,1.21,0.45,4.1,,
110768,O,7.9,0.86,0.41,4.6,,
110768,I,7.8,0.93,0.45,4.4,,
110773,O,8.1,1.24,0.5,4,,
110773,I,8,1.15,0.48,3.9,,
110775,O,7.9,0.98,0.45,5.2,,
110775,I,7.8,1.43,0.5,5.1,,
110776,O,8.1,1.25,0.6,4.5,,
110776,I,8,1.53,0.48,4.2,,
110777,O,7.9,0.98,0.5,5.1,,
110777,I,7.8,1.08,0.54,4.8,,
110778,O,7.7,1.49,0.57,4.4,,
110778,I,7.7,1.53,0.47,4.2,,
110779,O,7.7,1.85,0.41,4,,
110779,I,7.7,0.94,0.78,4.5,,
110781,O,7.7,1.02,0.62,4.2,,
110781,I,7.6,1.22,0.67,4.5,,
110852,O,7.8,1.38,0.72,4,,
110852,I,7.7,0.8,0.55,5.2,,
110853,O,7.7,0.86,0.66,5.5,,
110853,I,7.8,0.81,0.71,5.8,,
110854,O,7.6,0.94,0.55,4.9,,
110854,I,7.7,0.93,0.88,4.4,,
110855,O,7.6,1.39,0.78,4,,
110855,I,7.7,0.81,0.83,4.2,,
110856,O,7.7,0.91,0.72,4,,
110856,I,7.8,1,0.78,4.8,,
110857,O,7.7,0.9,0.83,5.2,,
110857,I,7.7,0.98,0.86,5.5,,
110858,O,7.8,1.04,0.76,5.4,,
110858,I,7.7,1.01,0.67,3.6,,
110859,O,7.5,1.24,0.57,3.5,,
110859,I,7.6,1.76,0.52,3,,
110862,O,7.5,1.75,0.62,3.5,,
110862,I,7.6,1.16,0.72,4.1,,
110863,O,7.7,0.88,0.78,3.9,,
110863,I,7.7,0.83,0.72,4.1,,
110892,O,7.6,1.31,0.83,3.8,,
110892,I,7.7,0.96,0.78,3.6,,
110893,O,7.7,0.97,0.72,4.1,,
110893,I,7.6,1.33,0.67,3.2,,
110895,O,7.6,1.15,0.78,3.6,,
110895,I,7.7,0.77,0.67,3.5,,
110898,O,7.6,0.86,0.62,3.1,,
110898,I,7.7,0.85,0.57,3.2,,
110899,O,7.7,0.92,0.67,3.5,,
110899,I,7.8,0.98,0.7,4.6,,
110900,O,7.7,0.89,0.65,4.5,,
110900,I,7.5,1.32,0.66,4.4,,
110902,O,7.7,1.15,0.79,4.5,,
110902,I,7.6,2.65,0.83,4,,
110903,O,7.5,1.08,0.78,4.2,,
110903,I,7.5,2.62,0.72,3.6,,
110904,O,7.6,1.17,0.88,4,,
110904,I,7.7,1.11,0.72,3.8,,
110905,O,7.9,0.81,0.78,3.6,,
110905,I,7.8,1.09,0.67,3,,
110983,O,7.8,1.25,0.83,3.6,,
110983,I,7.7,1.65,0.78,5.4,,
110984,O,7.7,1,0.98,5.6,,
110984,I,7.8,1.52,0.88,5,,
110986,O,7.6,2.2,0.86,5.1,,
110986,I,7.7,1.42,0.76,5.6,,
110987,O,7.8,1.11,0.81,5.4,,
110987,I,7.7,0.86,0.78,5,,
110988,O,7.7,1.2,0.83,5.1,,
110988,I,7.7,0.88,0.83,4.8,,
110989,O,7.8,1.22,0.78,4.1,,
110989,I,7.7,1.15,0.88,4.2,,
110990,O,7.7,0.98,0.72,3.6,,
110990,I,7.7,2,0.67,3.4,,
110991,O,7.7,1.08,0.62,3.5,,
110991,I,7.5,1.06,0.57,3,,
110992,O,7.6,1.68,0.67,3.7,,
110992,I,7.7,1.18,0.57,3,,
110993,O,7.6,0.83,0.52,3.1,,
110993,I,7.7,1.1,0.47,3,,
110994,O,7.6,1,0.47,3.6,,
110994,I,7.5,2.08,0.5,5.2,,
110995,O,7.8,1.09,0.63,5.5,,
110995,I,7.7,1.67,0.66,5.8,,
111021,O,7.6,1.9,0.45,5.1,,
111021,I,7.7,1.63,0.5,4.5,,
111023,O,7.6,1.47,0.71,5.2,,
111023,I,7.6,2.18,0.75,5.4,,
111024,O,7.7,1.93,0.78,5.6,,
111024,I,7.6,1.59,0.83,5,,
123570,O,7.6,1.96,0.78,4.8,,
123570,I,7.7,1.36,0.67,4,,
123571,O,7.6,1.03,0.88,4.6,,
123571,I,7.8,0.79,0.75,4.8,,
123572,O,7.7,0.74,1.03,4.8,,
123572,I,7.7,0.79,1.09,5.4,,
123573,O,7.5,1,0.98,5,,
123573,I,7.6,1.38,0.88,4.5,,
123574,O,7.7,0.96,0.6,4.6,,
123574,I,7.8,0.98,0.65,5.6,,
123575,O,7.7,0.88,0.53,5,,
123575,I,7.6,1.72,0.57,4.2,,
