,Formula_Index,P_Value
447,469.0,6.0
448,554.0,6.0
449,554.0,6.0
450,516.0,5.6
451,522.0,5.6
452,552.0,5.3
453,565.0,5.3
454,457.0,6.0
455,505.0,6.0
456,549.0,5.5
457,498.0,5.5
458,424.0,7.4
459,526.0,7.4
460,431.0,5.3
461,431.0,5.3
462,353.0,5.3
463,353.0,5.3
464,468.0,6.0
465,468.0,6.0
466,571.0,6.0
467,571.0,6.0
468,523.0,5.4
469,523.0,5.4
470,428.0,5.4
471,428.0,5.4
472,534.0,6.2
473,534.0,6.2
474,528.0,6.2
475,528.0,6.2
476,398.0,6.0
477,398.0,6.0
478,506.0,6.0
479,506.0,6.0
480,474.0,5.3
481,466.0,5.3
482,537.0,6.8
483,530.0,6.8
484,466.0,5.6
485,490.0,5.6
486,442.0,6.8
487,442.0,6.8
488,442.0,6.8
489,442.0,6.8
490,465.0,5.5
491,465.0,5.5
492,507.0,5.5
493,507.0,5.5
494,380.0,8.1
495,380.0,8.1
496,338.5,8.1
497,338.5,8.1
498,488.0,7.4
499,488.0,7.4
500,379.0,7.4
501,379.0,7.4
502,523.0,5.5
503,523.0,5.5
504,475.0,5.5
505,475.0,5.5
506,522.0,7.0
507,522.0,7.0
508,477.0,7.0
509,477.0,7.0
510,447.0,4.5
511,471.0,4.5
512,381.0,5.5
513,438.0,5.5
514,419.0,4.7
515,419.0,4.7
516,455.0,4.7
517,455.0,4.7
518,480.0,6.1
519,451.0,6.1
520,497.0,6.0
521,547.0,6.0
522,463.0,6.1
523,507.0,6.1
524,421.0,5.1
525,556.0,5.1
526,520.0,5.9
527,578.0,5.9
528,543.0,5.8
529,542.0,5.8
530,454.0,5.5
531,410.0,5.5
532,437.0,7.5
533,437.0,7.5
534,515.0,7.5
535,515.0,7.5
536,543.0,7.4
537,545.0,7.4
538,467.0,5.7
539,541.0,5.7
540,564.0,6.5
541,559.0,6.5
542,548.0,6.2
543,548.0,6.2
544,490.0,6.2
545,490.0,6.2
546,484.0,3.1
547,484.0,3.1
548,436.0,3.1
549,436.0,3.1
550,501.0,5.0
551,501.0,5.0
552,550.0,5.0
553,550.0,5.0
554,496.0,5.0
555,515.0,5.0
556,526.0,8.4
557,526.0,8.4
558,502.0,4.0
559,502.0,4.0
560,429.0,4.0
561,429.0,4.0
562,447.0,10.2
563,447.0,10.2
564,550.0,5.4
565,550.0,5.4
566,384.0,6.1
567,384.0,6.1
568,371.0,6.1
569,371.0,6.1
570,490.0,8.4
571,490.0,8.4
572,509.0,8.4
573,509.0,8.4
574,516.0,8.8
575,516.0,8.8
576,476.0,8.8
577,476.0,8.8
578,543.0,6.0
579,488.0,6.0
580,498.0,6.2
581,484.0,6.2
582,518.0,5.7
583,445.0,5.7
584,471.0,6.0
585,471.0,6.0
586,533.0,6.0
587,533.0,6.0
588,302.0,5.5
589,302.0,5.5
590,287.0,5.5
591,287.0,5.5
592,426.0,7.2
593,426.0,7.2
594,512.0,7.2
595,512.0,7.2
596,464.0,8.0
597,464.0,8.0
598,475.0,8.0
599,475.0,8.0
600,448.0,5.3
601,457.0,5.3
602,557.0,5.1
603,549.0,5.1
604,567.0,6.8
605,567.0,6.8
606,491.0,6.8
607,491.0,6.8
608,478.0,8.5
609,531.0,8.5
610,420.0,4.8
611,420.0,4.8
612,481.0,4.8
613,481.0,4.8
614,296.0,4.0
615,296.0,4.0
616,301.0,4.0
617,301.0,4.0
618,490.0,5.0
619,490.0,5.0
620,556.0,5.0
621,556.0,5.0
622,444.0,5.0
623,444.0,5.0
624,421.0,5.0
625,421.0,5.0
626,534.0,8.4
627,534.0,8.4
628,503.0,5.2
629,503.0,5.2
630,516.0,9.5
631,516.0,9.5
632,525.0,9.5
633,525.0,9.5
634,528.0,4.6
635,528.0,4.6
636,479.0,4.6
637,479.0,4.6
638,448.0,6.9
639,496.0,6.9
640,416.0,6.5
641,473.0,6.5
642,466.0,7.4
643,454.0,7.4
644,534.0,6.2
645,422.0,6.2
646,474.0,6.2
