,Formula_Index,pH_Value
1039,420.0,7.7
1040,295.0,7.7
1041,382.0,8.0
1042,364.0,8.0
1043,293.0,7.8
1044,328.0,7.8
1045,413.0,7.8
1046,366.0,7.8
1047,355.0,7.7
1048,324.0,7.7
1049,263.0,7.9
1050,278.0,7.9
1051,399.0,7.6
1052,407.0,7.8
1053,555.0,7.9
1054,471.0,7.9
1055,462.0,7.8
1056,528.0,7.8
1057,486.0,7.6
1058,307.0,7.9
1059,347.0,7.9
1060,310.0,7.7
1061,397.0,7.7
1062,262.5,7.7
1063,365.0,7.7
