,Formula_Index,EC_Value
498,488.0,0.31
499,488.0,0.31
500,379.0,0.31
501,379.0,0.31
502,523.0,0.81
503,523.0,0.81
504,475.0,0.81
505,475.0,0.81
506,522.0,0.26
507,522.0,0.26
508,477.0,0.26
509,477.0,0.26
510,447.0,0.8
511,471.0,0.8
512,381.0,0.64
513,438.0,0.64
514,419.0,0.26
515,419.0,0.26
516,455.0,0.26
517,455.0,0.26
518,480.0,1.77
519,451.0,1.77
520,497.0,0.26
521,547.0,0.26
522,463.0,0.64
523,507.0,0.64
524,421.0,1.52
525,556.0,1.52
526,520.0,0.21
527,578.0,0.21
528,543.0,0.2
529,542.0,0.2
530,454.0,2.0
531,410.0,2.0
532,437.0,2.3
533,437.0,2.3
534,515.0,2.3
535,515.0,2.3
536,543.0,1.34
537,545.0,1.34
538,467.0,0.19
539,541.0,0.19
540,564.0,0.63
541,559.0,0.63
542,548.0,1.2
543,548.0,1.2
544,490.0,1.2
545,490.0,1.2
546,484.0,0.55
547,484.0,0.55
548,436.0,0.55
549,436.0,0.55
550,501.0,0.54
551,501.0,0.54
552,550.0,0.54
553,550.0,0.54
554,496.0,2.8
555,515.0,2.8
556,526.0,1.98
557,526.0,1.98
558,502.0,0.41
559,502.0,0.41
560,429.0,0.41
561,429.0,0.41
562,447.0,0.28
563,447.0,0.28
564,550.0,0.36
565,550.0,0.36
566,384.0,0.78
567,384.0,0.78
568,371.0,0.78
569,371.0,0.78
570,490.0,0.32
571,490.0,0.32
572,509.0,0.32
573,509.0,0.32
574,516.0,0.35
575,516.0,0.35
576,476.0,0.35
577,476.0,0.35
578,543.0,0.24
579,488.0,0.24
580,498.0,0.58
581,484.0,0.58
582,518.0,1.09
583,445.0,1.09
584,471.0,0.21
585,471.0,0.21
586,533.0,0.21
587,533.0,0.21
588,302.0,0.09
589,302.0,0.09
590,287.0,0.09
591,287.0,0.09
592,426.0,0.31
593,426.0,0.31
594,512.0,0.31
595,512.0,0.31
596,464.0,0.49
597,464.0,0.49
598,475.0,0.49
599,475.0,0.49
600,448.0,0.62
601,457.0,0.62
602,557.0,0.9
603,549.0,0.9
604,567.0,1.7
605,567.0,1.7
606,491.0,1.7
607,491.0,1.7
608,478.0,0.546
609,531.0,0.546
610,420.0,7.42
611,420.0,7.42
