,pH_Index,OM_Value
291,0.007096221484772806,0.6
292,0.009383286330312608,0.3
293,0.009383286330312608,0.3
294,0.008742638819024113,0.3
295,0.008742638819024113,0.3
296,0.006983290791407968,0.5
297,0.006983290791407968,0.5
298,0.007384856958885816,0.5
299,0.007384856958885816,0.5
300,0.00970838841875758,0.4
301,0.00970838841875758,0.4
302,0.009462279079122659,0.4
303,0.009462279079122659,0.4
304,0.007561315099780286,0.4
305,0.007561315099780286,0.4
306,0.007570005103508827,0.4
307,0.007570005103508827,0.4
308,0.007345694152910613,0.3
309,0.007345694152910613,0.3
310,0.007375701231027394,0.3
311,0.007375701231027394,0.3
312,0.008096467934767182,0.5
313,0.008096467934767182,0.5
314,0.008124306452628243,0.5
315,0.008124306452628243,0.5
316,0.007313064610196789,0.5
317,0.007313064610196789,0.5
318,0.007669828469568913,0.5
319,0.007669828469568913,0.5
320,0.0069605976657058964,0.4
321,0.0069605976657058964,0.4
322,0.007229410429791021,0.4
323,0.007229410429791021,0.4
324,0.007784598976980595,0.4
325,0.007784598976980595,0.4
326,0.006849339967882997,0.4
327,0.006849339967882997,0.4
328,0.007193264932292282,0.4
329,0.007193264932292282,0.4
330,0.007994890238247674,0.4
331,0.007994890238247674,0.4
332,0.007223607070378027,0.4
333,0.007223607070378027,0.4
334,0.00828584489927032,0.4
335,0.00828584489927032,0.4
336,0.007377309615089963,0.3
337,0.007377309615089963,0.3
338,0.007772269916880577,0.3
339,0.007772269916880577,0.3
340,0.010429313914961644,0.6
341,0.010429313914961644,0.6
342,0.009915761485667501,0.6
343,0.009915761485667501,0.6
344,0.009016711886283894,0.4
345,0.009016711886283894,0.4
346,0.009826384661309308,0.4
347,0.009826384661309308,0.4
348,0.007535489825283347,0.5
349,0.007535489825283347,0.5
350,0.007625450292786677,0.5
351,0.007625450292786677,0.5
352,0.007659831457424488,0.5
353,0.007659831457424488,0.5
354,0.007687545500917184,0.5
355,0.007687545500917184,0.5
356,0.008411029431652377,0.7
357,0.008411029431652377,0.7
358,0.007774259316495213,0.7
359,0.007774259316495213,0.7
360,0.009415041583413969,0.4
361,0.009415041583413969,0.4
362,0.00804199173114133,0.4
363,0.00804199173114133,0.4
364,0.009305246853151632,0.5
365,0.009305246853151632,0.5
366,0.00786804490377221,0.5
367,0.00786804490377221,0.5
368,0.0075565310063740445,0.3
369,0.0075565310063740445,0.3
370,0.008264712226323863,0.3
371,0.008264712226323863,0.3
372,0.009048958935183152,0.5
373,0.009048958935183152,0.5
374,0.007945805182558508,0.5
375,0.007945805182558508,0.5
376,0.007457317042156842,0.5
377,0.007457317042156842,0.5
378,0.007338983678692472,0.5
379,0.007338983678692472,0.5
380,0.008915570337537936,0.5
381,0.008915570337537936,0.5
382,0.0072134170645027085,0.5
383,0.0072134170645027085,0.5
384,0.008338890936970107,0.4
385,0.008338890936970107,0.4
386,0.009305705583865034,0.4
387,0.009305705583865034,0.4
388,0.009430223082615593,0.4
389,0.009430223082615593,0.4
390,0.00794134239644796,0.4
391,0.00794134239644796,0.4
