,P_Index,P_Value
454,573.0,4.949999999999999
455,601.0,5.25
456,555.0,5.25
457,420.0,5.35
458,433.0,5.35
459,376.0,3.1
460,298.0,3.1
461,423.0,5.15
462,515.0,5.15
463,531.0,5.85
464,240.0,5.85
465,328.0,5.85
466,517.0,5.85
467,366.0,5.699999999999999
468,437.0,5.699999999999999
469,471.0,5.55
470,407.0,5.55
471,559.0,5.35
472,473.0,5.35
473,562.0,5.5
474,455.0,5.5
475,326.0,4.85
476,238.0,4.85
477,504.0,5.1
478,516.0,5.1
479,532.0,5.95
480,558.0,5.95
481,554.0,7.0
482,456.0,7.0
483,569.0,5.1
484,532.0,5.1
485,542.0,4.55
486,530.0,4.55
487,455.0,4.75
488,517.0,4.75
489,450.0,5.35
490,477.0,5.35
491,647.0,5.1
492,577.0,5.1
493,608.0,4.45
494,596.0,4.45
495,542.0,5.1
496,437.0,5.1
497,538.0,5.25
498,537.0,5.25
499,515.0,4.35
500,492.0,4.35
501,456.0,4.6
502,477.0,4.6
503,558.0,6.4
504,535.0,6.4
505,512.0,5.65
506,483.0,5.65
507,505.0,4.85
508,483.0,4.85
509,535.0,4.75
510,460.0,4.75
511,553.0,5.45
512,360.0,5.45
513,395.0,4.8
514,200.0,4.8
515,238.0,5.85
516,283.0,5.85
517,493.0,5.300000000000001
518,599.0,5.300000000000001
519,602.0,4.65
520,290.0,4.65
521,606.0,5.4
522,645.0,5.4
523,583.0,4.1
524,511.0,4.1
525,561.0,5.449999999999999
526,525.5,5.449999999999999
527,510.0,4.15
528,501.0,4.15
529,536.0,4.699999999999999
530,507.0,4.699999999999999
531,457.0,4.6
532,573.0,4.6
533,522.0,4.6
534,477.0,4.55
535,478.0,4.55
536,523.0,4.65
537,500.0,4.65
538,547.0,4.95
539,326.0,4.95
540,503.0,4.1
541,504.0,4.1
542,606.0,4.35
543,406.0,4.35
544,524.0,4.15
545,537.0,4.15
546,505.0,5.15
547,560.0,5.15
548,633.0,5.1
549,489.0,5.1
550,532.0,4.1
551,524.0,4.1
552,409.0,4.25
553,579.0,4.25
554,461.0,4.449999999999999
555,460.0,4.449999999999999
556,518.0,4.55
557,495.0,4.55
558,446.0,4.699999999999999
559,519.0,4.699999999999999
560,522.0,5.1
561,484.0,5.1
562,498.0,4.300000000000001
563,547.0,4.300000000000001
564,533.0,5.2
565,530.0,5.2
