,pH_Index,EC_Value
134,0.007975370694916063,1.76
135,0.007266058049501814,1.76
136,0.006653394785750879,1.02
137,0.006627233070348906,1.02
138,0.007790479209710779,1.7
139,0.008756304932539372,1.7
140,0.010979161108517004,0.88
141,0.008150446559288841,0.88
142,0.0069743186112198,1.15
143,0.0069527517136744885,1.15
144,0.006833947904159181,1.77
145,0.006320698136547339,1.77
146,0.006289271758567821,1.13
147,0.006581556709083522,1.13
148,0.006241022104648725,0.44
149,0.006471981404667629,0.44
150,0.006530291715629215,1.08
151,0.007117819870610429,1.08
152,0.006870736758451558,1.11
153,0.007248175977350578,1.11
154,0.006287326279578432,0.82
155,0.007445308927128068,0.82
156,0.007138229204427312,1.44
157,0.00651099539244581,1.44
158,0.006576917781419259,1.02
159,0.006560171999306879,1.02
160,0.007503691377910276,1.09
161,0.007295038733763339,1.09
162,0.006565759544874453,1.09
163,0.00679695799803092,1.09
164,0.008954821791559748,1.31
165,0.008218023368520141,1.31
166,0.008133757396804045,0.97
167,0.009994425497549007,0.97
168,0.007772940822322884,1.15
169,0.006581493448693989,1.15
170,0.009361535630357704,0.125
171,0.009749538962245027,0.125
172,0.009335952276433714,0.85
173,0.009995664084191575,0.85
174,0.007124128222800145,0.98
175,0.007203260866879802,0.98
176,0.008212062849264862,1.32
177,0.006539377951935318,1.32
178,0.007493151584460135,2.65
179,0.007932552904534585,2.65
180,0.007933858787238594,2.62
181,0.008032102204772741,2.62
182,0.009462055566673271,1.11
183,0.008477586448267148,1.11
184,0.007761514099389943,1.09
185,0.008296146540663426,1.09
186,0.00967456801026492,1.65
187,0.009049141881326307,1.65
188,0.011025757763173686,1.52
189,0.008716513575462879,1.52
190,0.00798097337960772,1.42
191,0.007398467168367059,1.42
192,0.007226819437747778,1.11
193,0.007817658339910874,1.11
194,0.00783616168519264,0.88
195,0.007300690593913467,0.88
196,0.008397367254287035,1.15
197,0.008743059176622946,1.15
198,0.009023893713063632,2.0
199,0.007747506768846741,2.0
200,0.008149641648064488,1.08
201,0.007718418937086909,1.08
202,0.006279844206602048,1.11
203,0.007263991463446482,1.11
204,0.00678068734840182,1.11
205,0.008506088282783493,1.11
206,0.00788763893837234,0.83
207,0.009673811322718289,0.83
208,0.006782082860191735,1.0
209,0.008240144656323495,1.0
210,0.008921680204365345,1.09
211,0.006804140032566597,1.09
212,0.006531512063939665,0.96
213,0.00712291624823098,0.96
214,0.006726846704164322,1.01
215,0.0068598516136032335,1.01
216,0.006697276587846589,1.09
217,0.006448671578265646,1.09
218,0.006206843252619732,1.83
219,0.006845342310911945,1.83
220,0.006171616176538301,0.9
221,0.006298891263947662,0.9
222,0.006415258608520411,0.96
223,0.006697822507709451,0.96
224,0.006836383075090854,1.88
225,0.006976034343350501,1.88
226,0.006960959538643537,1.12
227,0.006962182579914553,1.12
228,0.007863885272997114,1.73
229,0.007414203744011502,1.73
